transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,channel,transaction_type,merchant_category,location,status,scenario_id,ground_truth_pattern
TXN-BCBDB35EB451,2026-07-15 15:45:24,ACC-0182,ACC-0420,17384.93,INR,UPI,transfer,,Pune,completed,,
TXN-A7A43D11F3B9,2026-07-15 15:52:39,ACC-0541,ACC-0156,11511.89,INR,CASH,transfer,utilities,Hyderabad,completed,,
TXN-C016ED058D3B,2026-07-15 16:02:05,ACC-0361,ACC-0476,11676.59,INR,NEFT,transfer,subscription,Mumbai,completed,,
TXN-CC4DC255CE90,2026-07-15 16:18:26,ACC-0206,ACC-0566,28580.6,INR,NEFT,transfer,shopping,Ahmedabad,completed,,
TXN-D0F5B6C16D6E,2026-07-15 16:20:10,ACC-0325,ACC-0190,21041.77,INR,NEFT,transfer,groceries,Pune,completed,,
TXN-55C9D5649677,2026-07-15 16:24:15,ACC-0157,ACC-0109,20657.18,INR,RTGS,transfer,medical,Hyderabad,completed,,
TXN-24F964B623C6,2026-07-15 16:48:16,ACC-0103,ACC-0441,10761.75,INR,NEFT,transfer,shopping,Chennai,completed,,
TXN-47D374EAAC4E,2026-07-15 16:48:24,ACC-0392,ACC-0592,25906.16,INR,NEFT,transfer,,Bangalore,completed,,
TXN-F50DA70BC098,2026-07-15 16:59:08,ACC-0405,ACC-0337,7771.82,INR,IMPS,transfer,rent,Kolkata,completed,,
TXN-88A5D862ABC8,2026-07-15 17:03:13,ACC-0587,ACC-0349,14814.26,INR,NEFT,transfer,groceries,Kolkata,completed,,
TXN-CA19DFF30D08,2026-07-15 17:21:48,ACC-0442,ACC-0101,20826.14,INR,CASH,transfer,fuel,Delhi,completed,,
TXN-D3CB28DF549B,2026-07-15 17:54:56,ACC-0561,ACC-0387,16670.58,INR,UPI,transfer,groceries,Mumbai,completed,,
TXN-3F32A93CF3F0,2026-07-15 17:56:04,ACC-0523,ACC-0207,23055.44,INR,CASH,transfer,medical,Kolkata,completed,,
TXN-6CB950486878,2026-07-15 18:03:10,ACC-0148,ACC-0140,19061.65,INR,IMPS,transfer,subscription,Pune,completed,,
TXN-832CDE20DA74,2026-07-15 18:09:50,ACC-0293,ACC-0588,77806.4,INR,IMPS,transfer,rent,Ahmedabad,completed,,
TXN-C929D8606C3F,2026-07-15 18:32:46,ACC-0276,ACC-0219,20866.5,INR,NEFT,transfer,,Kolkata,completed,,
TXN-DADA599E33A5,2026-07-15 18:36:32,ACC-0484,ACC-0307,9669.36,INR,IMPS,transfer,medical,Mumbai,completed,,
TXN-37EB3579937D,2026-07-15 18:57:58,ACC-0219,ACC-0533,12171.12,INR,IMPS,transfer,utilities,Bangalore,completed,,
TXN-E8131FC20387,2026-07-15 19:17:04,ACC-0375,ACC-0533,23351.06,INR,UPI,transfer,restaurant,Ahmedabad,completed,,
TXN-B6B2F9BCE4FE,2026-07-15 19:17:26,ACC-0571,ACC-0529,11087.12,INR,IMPS,transfer,groceries,Bangalore,completed,,
TXN-AF811FF05CF6,2026-07-15 19:21:20,ACC-0188,ACC-0354,10455.94,INR,UPI,transfer,shopping,Hyderabad,completed,,
TXN-A9E95FBAAF42,2026-07-15 19:24:58,ACC-0170,ACC-0477,17401.15,INR,UPI,transfer,,Bangalore,completed,,
TXN-6A89D22EC97B,2026-07-15 19:38:36,ACC-0199,ACC-0182,7209.96,INR,CASH,transfer,shopping,Pune,completed,,
TXN-7279F7FE108A,2026-07-15 19:39:11,ACC-0549,ACC-0248,15498.04,INR,UPI,transfer,shopping,Chennai,completed,,
TXN-2C91C2D126D3,2026-07-15 19:40:30,ACC-0487,ACC-0488,17504.92,INR,UPI,transfer,subscription,Pune,completed,,
TXN-CCB4D00F48AD,2026-07-15 20:03:04,ACC-0561,ACC-0343,20963.01,INR,UPI,transfer,fuel,Chennai,completed,,
TXN-BB9E93F06F0C,2026-07-15 20:07:31,ACC-0554,ACC-0557,31922.36,INR,UPI,transfer,fuel,Mumbai,completed,,
TXN-3A1EB481DE33,2026-07-15 20:15:13,ACC-0543,ACC-0524,51745.52,INR,NEFT,transfer,,Delhi,completed,,
TXN-E398B85941E2,2026-07-15 20:17:18,ACC-0457,ACC-0475,17413.71,INR,NEFT,transfer,utilities,Mumbai,completed,,
TXN-30C4FF738CA7,2026-07-15 20:25:10,ACC-0125,ACC-0231,22165.85,INR,RTGS,transfer,groceries,Delhi,completed,,
TXN-5F029DB946B3,2026-07-15 20:27:38,ACC-0202,ACC-0362,13138.73,INR,UPI,transfer,,Hyderabad,completed,,
TXN-04424C64D3D2,2026-07-15 20:33:37,ACC-0393,ACC-0146,20084.02,INR,NEFT,transfer,restaurant,Hyderabad,completed,,
TXN-E91E0DA48561,2026-07-15 20:38:57,ACC-0396,ACC-0186,17807.2,INR,UPI,transfer,,Ahmedabad,completed,,
TXN-6BF2F17A5AB0,2026-07-15 20:40:19,ACC-0235,ACC-0197,43593.66,INR,CASH,transfer,subscription,Delhi,completed,,
TXN-97FA6F2C3938,2026-07-15 20:55:03,ACC-0512,ACC-0191,25884.14,INR,NEFT,transfer,,Ahmedabad,completed,,
TXN-63EF5AC15787,2026-07-15 20:55:10,ACC-0566,ACC-0516,15839.23,INR,IMPS,transfer,medical,Hyderabad,completed,,
TXN-07E42784C80E,2026-07-15 20:56:45,ACC-0288,ACC-0343,21772.01,INR,UPI,transfer,,Hyderabad,completed,,
TXN-D3ABDDBF9E5B,2026-07-15 21:04:07,ACC-0171,ACC-0553,25062.83,INR,NEFT,transfer,restaurant,Ahmedabad,completed,,
TXN-5C6B00A1BF2A,2026-07-15 21:10:27,ACC-0120,ACC-0265,12645.06,INR,UPI,transfer,medical,Kolkata,completed,,
TXN-09EF134E7EAB,2026-07-15 21:12:07,ACC-0539,ACC-0556,22374.23,INR,UPI,transfer,subscription,Pune,completed,,
TXN-4EF30E0B42DF,2026-07-15 21:13:15,ACC-0157,ACC-0406,22385.76,INR,UPI,transfer,shopping,Hyderabad,completed,,
TXN-09FAF167FD8D,2026-07-15 21:17:11,ACC-0579,ACC-0418,21249.84,INR,UPI,transfer,,Kolkata,completed,,
TXN-5F80DF4BBB88,2026-07-15 21:17:20,ACC-0158,ACC-0548,17202.02,INR,NEFT,transfer,shopping,Bangalore,completed,,
TXN-463265243D6D,2026-07-15 21:20:14,ACC-0230,ACC-0523,18016.49,INR,NEFT,transfer,,Delhi,completed,,
TXN-752F9E6F1163,2026-07-15 21:22:43,ACC-0265,ACC-0261,45527.86,INR,UPI,transfer,restaurant,Mumbai,completed,,
TXN-6A4F6FC8112C,2026-07-15 21:23:44,ACC-0307,ACC-0234,12004.72,INR,NEFT,transfer,,Hyderabad,completed,,
TXN-64F59FEE8DC3,2026-07-15 21:24:38,ACC-0126,ACC-0163,21732.47,INR,UPI,transfer,,Pune,completed,,
TXN-7D89CBF9D885,2026-07-15 21:27:16,ACC-0124,ACC-0288,23645.45,INR,IMPS,transfer,,Chennai,completed,,
TXN-5E2BB3811AD3,2026-07-15 21:27:34,ACC-0139,ACC-0393,6987.98,INR,NEFT,transfer,,Kolkata,completed,,
TXN-393BE6E04C70,2026-07-15 21:42:39,ACC-0241,ACC-0150,22690.29,INR,NEFT,transfer,rent,Ahmedabad,completed,,
TXN-136264425541,2026-07-15 21:49:12,ACC-0213,ACC-0462,10200.45,INR,NEFT,transfer,,Delhi,completed,,
TXN-06CA33C3E74B,2026-07-15 21:49:23,ACC-0184,ACC-0524,30366.33,INR,UPI,transfer,restaurant,Chennai,completed,,
TXN-95771BBD9266,2026-07-15 21:49:43,ACC-0246,ACC-0552,11951.58,INR,UPI,transfer,,Delhi,completed,,
TXN-4693E972300D,2026-07-15 21:51:39,ACC-0401,ACC-0505,28508.33,INR,UPI,transfer,,Hyderabad,completed,,
TXN-E9894B2C7842,2026-07-15 21:52:42,ACC-0577,ACC-0252,13370.38,INR,CASH,transfer,fuel,Kolkata,completed,,
TXN-C225516E109B,2026-07-15 22:11:07,ACC-0566,ACC-0266,12521.03,INR,NEFT,transfer,restaurant,Bangalore,completed,,
TXN-5DE28F7CCF0D,2026-07-15 22:17:36,ACC-0588,ACC-0336,58873.08,INR,NEFT,transfer,medical,Chennai,completed,,
TXN-43501AB6F149,2026-07-15 22:19:27,ACC-0397,ACC-0451,715.05,INR,IMPS,transfer,,Ahmedabad,completed,,
TXN-CE326EDB197D,2026-07-15 22:19:37,ACC-0299,ACC-0275,21235.33,INR,UPI,transfer,subscription,Chennai,completed,,
TXN-5135061C1BD1,2026-07-15 22:22:00,ACC-0356,ACC-0104,100201.07,INR,NEFT,transfer,rent,Bangalore,completed,,
TXN-D8E9E1DA151A,2026-07-15 22:35:37,ACC-0549,ACC-0405,17640.43,INR,IMPS,transfer,subscription,Pune,completed,,
TXN-11658F7D7AE4,2026-07-15 22:39:39,ACC-0259,ACC-0505,33424.38,INR,NEFT,transfer,rent,Chennai,completed,,
TXN-A8F4E3FBA3E9,2026-07-15 22:42:19,ACC-0148,ACC-0297,17577.54,INR,NEFT,transfer,subscription,Pune,completed,,
TXN-8E7F696049B4,2026-07-15 22:44:53,ACC-0307,ACC-0113,12596.89,INR,NEFT,transfer,restaurant,Pune,completed,,
TXN-E77A91ACEB1C,2026-07-15 22:56:50,ACC-0499,ACC-0589,12533.85,INR,CASH,transfer,utilities,Pune,completed,,
TXN-B807D7DB0FF3,2026-07-15 22:58:01,ACC-0575,ACC-0550,17722.2,INR,UPI,transfer,subscription,Chennai,completed,,
TXN-16B059711952,2026-07-15 23:10:43,ACC-0419,ACC-0524,18738.92,INR,CASH,transfer,groceries,Kolkata,completed,,
TXN-7AFE36985140,2026-07-15 23:20:03,ACC-0189,ACC-0169,15829.69,INR,UPI,transfer,rent,Chennai,completed,,
TXN-05EC74B6BABD,2026-07-15 23:20:26,ACC-0181,ACC-0442,18100.39,INR,NEFT,transfer,subscription,Mumbai,completed,,
TXN-A3A4C99CE6F7,2026-07-15 23:35:27,ACC-0320,ACC-0168,21982.73,INR,RTGS,transfer,,Delhi,completed,,
TXN-5E3C885AAEBD,2026-07-15 23:36:18,ACC-0204,ACC-0198,24722.56,INR,UPI,transfer,shopping,Chennai,completed,,
TXN-500677544059,2026-07-15 23:48:51,ACC-0186,ACC-0247,20271.42,INR,IMPS,transfer,,Mumbai,completed,,
TXN-37BBCC7DB811,2026-07-15 23:55:05,ACC-0116,ACC-0374,55681.93,INR,RTGS,transfer,utilities,Bangalore,completed,,
TXN-41902F284FD2,2026-07-16 00:08:32,ACC-0147,ACC-0300,11116.0,INR,CASH,transfer,,Delhi,completed,,
TXN-D67AE20FE7D0,2026-07-16 00:12:57,ACC-0109,ACC-0324,23191.38,INR,UPI,transfer,rent,Kolkata,completed,,
TXN-02E9FF7C92D2,2026-07-16 00:18:47,ACC-0432,ACC-0300,22733.32,INR,RTGS,transfer,fuel,Pune,completed,,
TXN-D321BEC24361,2026-07-16 00:27:36,ACC-0507,ACC-0542,21963.9,INR,CASH,transfer,medical,Bangalore,completed,,
TXN-F17F26D7B482,2026-07-16 00:30:35,ACC-0297,ACC-0113,14675.07,INR,UPI,transfer,rent,Pune,completed,,
TXN-957AD8AA25F5,2026-07-16 00:33:35,ACC-0323,ACC-0386,11023.07,INR,UPI,transfer,fuel,Pune,completed,,
TXN-3B5A2FA73E9F,2026-07-16 00:39:41,ACC-0351,ACC-0176,17591.15,INR,UPI,transfer,medical,Ahmedabad,completed,,
TXN-A129673968DC,2026-07-16 01:03:40,ACC-0180,ACC-0133,21554.31,INR,RTGS,transfer,rent,Ahmedabad,completed,,
TXN-82A4891529FB,2026-07-16 01:25:58,ACC-0109,ACC-0111,23281.38,INR,IMPS,transfer,groceries,Mumbai,completed,,
TXN-7B7C0598D178,2026-07-16 01:30:06,ACC-0445,ACC-0326,16472.5,INR,NEFT,transfer,medical,Kolkata,completed,,
TXN-658276989B92,2026-07-16 01:44:04,ACC-0466,ACC-0479,10287.47,INR,NEFT,transfer,medical,Kolkata,completed,,
TXN-AAE8948EB6DC,2026-07-16 01:51:13,ACC-0514,ACC-0390,12561.08,INR,NEFT,transfer,,Bangalore,completed,,
TXN-4A295F1D1B82,2026-07-16 01:56:09,ACC-0519,ACC-0128,13534.97,INR,UPI,transfer,,Delhi,completed,,
TXN-EC2ADB0383E4,2026-07-16 02:06:58,ACC-0436,ACC-0390,15312.35,INR,NEFT,transfer,medical,Delhi,completed,,
TXN-F6A81FA9F785,2026-07-16 02:12:11,ACC-0291,ACC-0284,19373.47,INR,UPI,transfer,restaurant,Hyderabad,completed,,
TXN-E627C5548A76,2026-07-16 02:14:33,ACC-0505,ACC-0508,19893.91,INR,UPI,transfer,rent,Kolkata,completed,,
TXN-A1347887D613,2026-07-16 02:19:02,ACC-0149,ACC-0146,14389.58,INR,NEFT,transfer,utilities,Chennai,completed,,
TXN-CE18FB482558,2026-07-16 02:22:40,ACC-0536,ACC-0291,4045.55,INR,UPI,transfer,medical,Delhi,completed,,
TXN-30AB237DF8CB,2026-07-16 02:28:25,ACC-0379,ACC-0480,22531.73,INR,RTGS,transfer,medical,Chennai,completed,,
TXN-BA77ED0F02F9,2026-07-16 02:38:30,ACC-0570,ACC-0379,39213.17,INR,UPI,transfer,restaurant,Pune,completed,,
TXN-5C2C39778200,2026-07-16 03:01:36,ACC-0515,ACC-0167,8530.31,INR,UPI,transfer,fuel,Pune,completed,,
TXN-C44312ADB983,2026-07-16 03:06:31,ACC-0423,ACC-0516,18432.49,INR,NEFT,transfer,medical,Ahmedabad,completed,,
TXN-51855126CE0C,2026-07-16 03:11:57,ACC-0438,ACC-0158,5579.19,INR,UPI,transfer,shopping,Mumbai,completed,,
TXN-871BE2F756D1,2026-07-16 03:17:42,ACC-C-001,ACC-0267,17332.61,INR,IMPS,transfer,rent,Delhi,completed,,
TXN-63FF0F61D486,2026-07-16 03:17:43,ACC-0124,ACC-0203,22186.93,INR,RTGS,transfer,subscription,Kolkata,completed,,
TXN-A45282FAD5FB,2026-07-16 03:28:42,ACC-0413,ACC-0455,18123.48,INR,NEFT,transfer,restaurant,Hyderabad,completed,,
TXN-03EFC6749FE6,2026-07-16 03:30:03,ACC-0296,ACC-0153,13773.67,INR,UPI,transfer,subscription,Ahmedabad,completed,,
TXN-535DF7B8F7F4,2026-07-16 03:39:51,ACC-0398,ACC-G-001,9949.71,INR,NEFT,transfer,medical,Kolkata,completed,,
TXN-08AF84B842E0,2026-07-16 03:40:01,ACC-F-001,ACC-0465,14536.18,INR,RTGS,transfer,restaurant,Delhi,completed,,
TXN-8BC18A95D2A8,2026-07-16 03:47:21,ACC-0104,ACC-0151,19225.36,INR,IMPS,transfer,groceries,Bangalore,completed,,
TXN-40F177FD1060,2026-07-16 03:52:06,ACC-0570,ACC-0496,12748.53,INR,IMPS,transfer,fuel,Ahmedabad,completed,,
TXN-DA1B0CD1D94E,2026-07-16 03:54:07,ACC-0270,ACC-0351,11686.47,INR,IMPS,transfer,shopping,Mumbai,completed,,
TXN-DAF0FE42787D,2026-07-16 04:00:33,ACC-0399,ACC-0388,23491.3,INR,UPI,transfer,restaurant,Pune,completed,,
TXN-180CEDC724F4,2026-07-16 04:04:13,ACC-0519,ACC-0175,10165.88,INR,IMPS,transfer,shopping,Kolkata,completed,,
TXN-B72D52E23F90,2026-07-16 04:04:13,ACC-0394,ACC-0128,18296.94,INR,UPI,transfer,groceries,Mumbai,completed,,
TXN-8DD19D04123D,2026-07-16 04:24:03,ACC-0468,ACC-0285,9058.85,INR,IMPS,transfer,,Chennai,completed,,
TXN-8965F5B9CBBB,2026-07-16 04:24:33,ACC-0461,ACC-0189,41312.98,INR,RTGS,transfer,fuel,Chennai,completed,,
TXN-B1220697E8F0,2026-07-16 04:29:49,ACC-0113,ACC-0145,10987.6,INR,NEFT,transfer,rent,Kolkata,completed,,
TXN-5F7E9AA812BC,2026-07-16 04:33:04,ACC-0510,ACC-0254,21974.24,INR,IMPS,transfer,,Chennai,completed,,
TXN-E737005F6877,2026-07-16 04:47:45,ACC-0254,ACC-0251,11785.11,INR,UPI,transfer,,Delhi,completed,,
TXN-25A9ADF82A23,2026-07-16 05:20:42,ACC-0175,ACC-0127,18411.22,INR,UPI,transfer,,Hyderabad,completed,,
TXN-36D64B5AACD4,2026-07-16 05:24:16,ACC-0174,ACC-0145,20922.8,INR,UPI,transfer,shopping,Delhi,completed,,
TXN-2CDB22989865,2026-07-16 05:28:11,ACC-0259,ACC-0182,95931.69,INR,UPI,transfer,restaurant,Mumbai,completed,,
TXN-E57DF04E21FF,2026-07-16 06:00:51,ACC-0534,ACC-0499,11931.73,INR,UPI,transfer,groceries,Kolkata,completed,,
TXN-A672A6398021,2026-07-16 06:12:38,ACC-0492,ACC-0174,2471.98,INR,IMPS,transfer,utilities,Mumbai,completed,,
TXN-924AA1023756,2026-07-16 06:13:12,ACC-0225,ACC-0592,976.29,INR,NEFT,transfer,,Delhi,completed,,
TXN-4A4624B0E818,2026-07-16 06:15:55,ACC-0418,ACC-0381,7888.57,INR,UPI,transfer,groceries,Mumbai,completed,,
TXN-88D824C21041,2026-07-16 06:19:43,ACC-0431,ACC-0343,6019.85,INR,UPI,transfer,,Kolkata,completed,,
TXN-CC6CC591F716,2026-07-16 06:40:42,ACC-0230,ACC-0546,16428.85,INR,IMPS,transfer,,Delhi,completed,,
TXN-03CA453C668C,2026-07-16 06:48:35,ACC-0491,ACC-0135,41243.92,INR,IMPS,transfer,subscription,Kolkata,completed,,
TXN-7B42EA8CDE82,2026-07-16 06:48:38,ACC-0277,ACC-0411,24320.22,INR,UPI,transfer,subscription,Delhi,completed,,
TXN-50C75C537CE5,2026-07-16 06:55:22,ACC-F-001,ACC-0164,18573.31,INR,UPI,transfer,medical,Delhi,completed,,
TXN-BFF178EC74A5,2026-07-16 06:55:26,ACC-0405,ACC-0441,14692.21,INR,IMPS,transfer,shopping,Hyderabad,completed,,
TXN-5C85A8F941EB,2026-07-16 06:57:52,ACC-0549,ACC-C-001,12479.96,INR,UPI,transfer,,Kolkata,completed,,
TXN-FE43CF78C7A9,2026-07-16 06:58:18,ACC-0210,ACC-0223,19471.45,INR,UPI,transfer,utilities,Bangalore,completed,,
TXN-8DF4066CA897,2026-07-16 07:24:38,ACC-0414,ACC-0213,1308.45,INR,IMPS,transfer,,Chennai,completed,,
TXN-1AA7C5D31F80,2026-07-16 07:37:35,ACC-0416,ACC-0510,9310.06,INR,NEFT,transfer,rent,Bangalore,completed,,
TXN-2CB3D0F98039,2026-07-16 07:41:30,ACC-C-001,ACC-0196,25115.46,INR,NEFT,transfer,medical,Bangalore,completed,,
TXN-47CD53B3722B,2026-07-16 07:45:43,ACC-0210,ACC-0390,21354.75,INR,NEFT,transfer,shopping,Pune,completed,,
TXN-19406070A745,2026-07-16 07:47:59,ACC-0410,ACC-0275,11025.35,INR,IMPS,transfer,,Bangalore,completed,,
TXN-FA3869CD96D9,2026-07-16 07:58:34,ACC-0557,ACC-0162,22502.03,INR,IMPS,transfer,subscription,Kolkata,completed,,
TXN-2EC923A2DB32,2026-07-16 08:01:55,ACC-0568,ACC-0370,17609.33,INR,IMPS,transfer,groceries,Hyderabad,completed,,
TXN-A352F56FAFFB,2026-07-16 08:07:01,ACC-0321,ACC-0331,11275.41,INR,UPI,transfer,subscription,Mumbai,completed,,
TXN-24BDBB76AD21,2026-07-16 08:08:28,ACC-0424,ACC-0198,35895.26,INR,IMPS,transfer,restaurant,Kolkata,completed,,
TXN-1A4300386B6C,2026-07-16 08:19:11,ACC-0371,ACC-0410,18819.64,INR,CASH,transfer,utilities,Hyderabad,completed,,
TXN-A419A7B5C3D4,2026-07-16 08:20:40,ACC-0359,ACC-0368,16007.76,INR,NEFT,transfer,rent,Pune,completed,,
TXN-92EF97DA4163,2026-07-16 08:42:09,ACC-0475,ACC-0428,91142.83,INR,UPI,transfer,medical,Mumbai,completed,,
TXN-06CA38B0DD6D,2026-07-16 09:03:19,ACC-0147,ACC-0587,13785.82,INR,UPI,transfer,utilities,Ahmedabad,completed,,
TXN-EB9EFE306333,2026-07-16 09:24:18,ACC-0475,ACC-0174,47012.62,INR,UPI,transfer,restaurant,Pune,completed,,
TXN-E9A6C83C64F7,2026-07-16 09:48:22,ACC-0429,ACC-0149,13609.6,INR,UPI,transfer,subscription,Kolkata,completed,,
TXN-E3D911DCA57C,2026-07-16 10:12:36,ACC-0344,ACC-0429,40186.95,INR,NEFT,transfer,,Mumbai,completed,,
TXN-80EE7C6C46FB,2026-07-16 10:15:06,ACC-0584,ACC-0377,22884.41,INR,NEFT,transfer,rent,Kolkata,completed,,
TXN-BEAEF6419740,2026-07-16 10:23:01,ACC-0470,ACC-0387,13645.73,INR,UPI,transfer,shopping,Ahmedabad,completed,,
TXN-2C967FA6B044,2026-07-16 10:31:02,ACC-0546,ACC-0549,58653.44,INR,IMPS,transfer,utilities,Kolkata,completed,,
TXN-9DBEBF159F6F,2026-07-16 10:41:43,ACC-0486,ACC-0234,71306.38,INR,IMPS,transfer,shopping,Chennai,completed,,
TXN-F8609341587E,2026-07-16 11:25:36,ACC-0256,ACC-0397,11457.3,INR,IMPS,transfer,groceries,Chennai,completed,,
TXN-B45BCFF53BC0,2026-07-16 11:47:37,ACC-0359,ACC-0192,18103.29,INR,UPI,transfer,utilities,Ahmedabad,completed,,
TXN-F79BDD943E89,2026-07-16 12:01:31,ACC-C-001,ACC-0126,17797.79,INR,UPI,transfer,,Kolkata,completed,,
TXN-EC26887AC6C6,2026-07-16 12:04:35,ACC-0228,ACC-0530,19298.49,INR,NEFT,transfer,,Mumbai,completed,,
TXN-BF3D70FC9A3F,2026-07-16 12:07:41,ACC-0246,ACC-0175,12272.14,INR,UPI,transfer,medical,Bangalore,completed,,
TXN-9E0715773852,2026-07-16 12:15:54,ACC-0313,ACC-0265,22346.78,INR,UPI,transfer,fuel,Delhi,completed,,
TXN-86DB60F8E475,2026-07-16 12:17:55,ACC-0451,ACC-0488,19682.45,INR,NEFT,transfer,fuel,Bangalore,completed,,
TXN-DE6285CA6FD1,2026-07-16 12:23:35,ACC-0310,ACC-0303,23616.07,INR,RTGS,transfer,rent,Mumbai,completed,,
TXN-E4B90942B795,2026-07-16 12:31:18,ACC-0425,ACC-0238,23821.22,INR,UPI,transfer,rent,Kolkata,completed,,
TXN-22613E35543E,2026-07-16 12:46:43,ACC-0308,ACC-0589,16060.03,INR,IMPS,transfer,rent,Ahmedabad,completed,,
TXN-5618F130649B,2026-07-16 12:46:47,ACC-0215,ACC-0390,12488.69,INR,UPI,transfer,,Mumbai,completed,,
TXN-703E4AA13773,2026-07-16 12:52:40,ACC-0469,ACC-0192,20992.88,INR,RTGS,transfer,restaurant,Bangalore,completed,,
TXN-9328F95C7518,2026-07-16 13:01:43,ACC-0309,ACC-0322,11671.54,INR,UPI,transfer,utilities,Mumbai,completed,,
TXN-8628164BBCFC,2026-07-16 13:17:02,ACC-0532,ACC-0255,29783.01,INR,IMPS,transfer,fuel,Bangalore,completed,,
TXN-CE4C359A29B1,2026-07-16 13:29:28,ACC-0459,ACC-0504,139787.71,INR,UPI,transfer,restaurant,Pune,completed,,
TXN-D53560A1C76E,2026-07-16 13:33:04,ACC-0264,ACC-0494,8114.62,INR,IMPS,transfer,restaurant,Hyderabad,completed,,
TXN-2A24FB4EC12B,2026-07-16 14:20:07,ACC-0286,ACC-0410,20903.05,INR,UPI,transfer,rent,Kolkata,completed,,
TXN-E72FFDB037EF,2026-07-16 14:22:13,ACC-0455,ACC-0155,19971.82,INR,NEFT,transfer,rent,Ahmedabad,completed,,
TXN-0417E1FA1279,2026-07-16 14:42:04,ACC-0487,ACC-0130,27185.44,INR,RTGS,transfer,,Delhi,completed,,
TXN-61408C641553,2026-07-16 14:45:04,ACC-0302,ACC-0413,10744.11,INR,CASH,transfer,subscription,Bangalore,completed,,
TXN-F1B80E30021F,2026-07-16 14:45:43,ACC-0104,ACC-0580,17705.2,INR,IMPS,transfer,,Chennai,completed,,
TXN-B0AF14EC848C,2026-07-16 14:56:01,ACC-0528,ACC-0441,20421.5,INR,CASH,transfer,,Hyderabad,completed,,
TXN-12C476C62280,2026-07-16 14:56:18,ACC-0108,ACC-0220,21292.74,INR,NEFT,transfer,shopping,Ahmedabad,completed,,
TXN-CCA6CC47E475,2026-07-16 14:58:58,ACC-0247,ACC-0270,11601.59,INR,RTGS,transfer,,Delhi,completed,,
TXN-79B8EDB47BCF,2026-07-16 15:04:34,ACC-0260,ACC-0395,20304.02,INR,NEFT,transfer,groceries,Bangalore,completed,,
TXN-3DD35739AD02,2026-07-16 15:06:13,ACC-0345,ACC-0536,1763.01,INR,UPI,transfer,rent,Kolkata,completed,,
TXN-D6F0C89A699F,2026-07-16 15:36:46,ACC-0192,ACC-0111,98376.11,INR,NEFT,transfer,groceries,Chennai,completed,,
TXN-3A32FD7119C6,2026-07-16 15:55:20,ACC-0502,ACC-0293,28168.28,INR,IMPS,transfer,shopping,Hyderabad,completed,,
