customer_id,customer_type,occupation_or_business_category,expected_activity_category,geographic_region
CUST-0151,business,small_business,small_business,Chennai
CUST-0152,individual,salary,salary,Pune
CUST-0153,individual,salary,salary,Ahmedabad
CUST-0154,business,small_business,small_business,Chennai
CUST-0155,business,merchant,merchant,Chennai
CUST-0156,individual,salary,salary,Bangalore
CUST-0157,individual,salary,salary,Bangalore
CUST-0158,individual,salary,salary,Delhi
CUST-0159,individual,student,student,Hyderabad
CUST-0160,business,merchant,merchant,Delhi
CUST-0161,individual,salary,salary,Mumbai
CUST-0162,individual,salary,salary,Pune
CUST-0163,individual,student,student,Bangalore
CUST-0164,business,merchant,merchant,Kolkata
CUST-0165,individual,salary,salary,Bangalore
CUST-0166,individual,salary,salary,Bangalore
CUST-0167,individual,salary,salary,Bangalore
CUST-0168,business,merchant,merchant,Bangalore
CUST-0169,individual,salary,salary,Ahmedabad
CUST-0170,business,merchant,merchant,Mumbai
CUST-0171,individual,salary,salary,Kolkata
CUST-0172,individual,salary,salary,Pune
CUST-0173,individual,salary,salary,Chennai
CUST-0174,individual,salary,salary,Ahmedabad
CUST-0175,individual,salary,salary,Hyderabad
CUST-0176,business,small_business,small_business,Ahmedabad
CUST-0177,individual,salary,salary,Chennai
CUST-0178,individual,salary,salary,Chennai
CUST-0179,individual,salary,salary,Hyderabad
CUST-0180,individual,salary,salary,Ahmedabad
CUST-0181,individual,salary,salary,Chennai
CUST-0182,individual,salary,salary,Pune
CUST-0183,business,small_business,small_business,Ahmedabad
CUST-0184,business,merchant,merchant,Ahmedabad
CUST-0185,individual,student,student,Hyderabad
CUST-0186,individual,salary,salary,Kolkata
CUST-0187,business,merchant,merchant,Kolkata
CUST-0188,individual,student,student,Bangalore
CUST-0189,individual,salary,salary,Chennai
CUST-0190,individual,student,student,Bangalore
CUST-0191,individual,salary,salary,Hyderabad
CUST-0192,business,small_business,small_business,Mumbai
CUST-0193,individual,salary,salary,Ahmedabad
CUST-0194,individual,student,student,Pune
CUST-0195,individual,salary,salary,Delhi
CUST-0196,individual,salary,salary,Delhi
CUST-0197,individual,salary,salary,Hyderabad
CUST-0198,individual,salary,salary,Delhi
CUST-0199,business,merchant,merchant,Bangalore
CUST-0200,individual,salary,salary,Hyderabad
CUST-0201,individual,student,student,Ahmedabad
CUST-0202,individual,student,student,Bangalore
CUST-0203,business,small_business,small_business,Kolkata
CUST-0204,individual,salary,salary,Delhi
CUST-0205,business,merchant,merchant,Chennai
CUST-0206,individual,salary,salary,Ahmedabad
CUST-0207,individual,salary,salary,Pune
CUST-0208,individual,student,student,Mumbai
CUST-0209,individual,salary,salary,Kolkata
CUST-0210,individual,salary,salary,Mumbai
CUST-0211,individual,student,student,Kolkata
CUST-0212,business,merchant,merchant,Pune
CUST-0213,individual,student,student,Chennai
CUST-0214,business,small_business,small_business,Kolkata
CUST-0215,individual,student,student,Delhi
CUST-0216,individual,student,student,Pune
CUST-0217,individual,salary,salary,Chennai
CUST-0218,business,merchant,merchant,Mumbai
CUST-0219,business,merchant,merchant,Pune
CUST-0220,individual,student,student,Delhi
CUST-0221,business,small_business,small_business,Pune
CUST-0222,business,small_business,small_business,Bangalore
CUST-0223,business,small_business,small_business,Bangalore
CUST-0224,business,merchant,merchant,Mumbai
CUST-0225,business,merchant,merchant,Hyderabad
CUST-0226,business,merchant,merchant,Ahmedabad
CUST-0227,individual,salary,salary,Bangalore
CUST-0228,individual,salary,salary,Ahmedabad
CUST-0229,individual,salary,salary,Ahmedabad
CUST-0230,individual,salary,salary,Mumbai
CUST-0231,individual,salary,salary,Delhi
CUST-0232,individual,salary,salary,Mumbai
CUST-0233,business,small_business,small_business,Hyderabad
CUST-0234,individual,student,student,Chennai
CUST-0235,business,small_business,small_business,Bangalore
CUST-0236,individual,salary,salary,Kolkata
CUST-0237,individual,salary,salary,Delhi
CUST-0238,business,merchant,merchant,Hyderabad
CUST-0239,individual,student,student,Chennai
CUST-0240,individual,salary,salary,Hyderabad
CUST-0241,individual,salary,salary,Delhi
CUST-0242,individual,salary,salary,Mumbai
CUST-0243,individual,salary,salary,Chennai
CUST-0244,individual,student,student,Kolkata
CUST-0245,business,merchant,merchant,Ahmedabad
CUST-0246,individual,student,student,Delhi
CUST-0247,individual,student,student,Delhi
CUST-0248,individual,salary,salary,Ahmedabad
CUST-0249,individual,student,student,Mumbai
CUST-0250,individual,student,student,Chennai
CUST-0251,individual,student,student,Bangalore
CUST-0252,individual,salary,salary,Hyderabad
CUST-0253,individual,salary,salary,Kolkata
CUST-0254,individual,student,student,Mumbai
CUST-0255,individual,student,student,Pune
CUST-0256,individual,salary,salary,Chennai
CUST-0257,individual,student,student,Kolkata
CUST-0258,individual,salary,salary,Bangalore
CUST-0259,business,small_business,small_business,Delhi
CUST-0260,individual,salary,salary,Pune
CUST-0261,business,merchant,merchant,Delhi
CUST-0262,individual,salary,salary,Mumbai
CUST-0263,business,merchant,merchant,Kolkata
CUST-0264,business,merchant,merchant,Ahmedabad
CUST-0265,business,merchant,merchant,Mumbai
CUST-0266,individual,salary,salary,Kolkata
CUST-0267,individual,salary,salary,Pune
CUST-0268,individual,student,student,Hyderabad
CUST-0269,business,small_business,small_business,Mumbai
CUST-0270,individual,student,student,Pune
CUST-0271,business,merchant,merchant,Delhi
CUST-0272,business,merchant,merchant,Pune
CUST-0273,individual,salary,salary,Chennai
CUST-0274,business,merchant,merchant,Delhi
CUST-0275,individual,student,student,Pune
CUST-0276,individual,salary,salary,Bangalore
CUST-0277,individual,salary,salary,Mumbai
CUST-0278,individual,salary,salary,Pune
CUST-0279,individual,student,student,Pune
CUST-0280,individual,salary,salary,Bangalore
CUST-0281,individual,student,student,Ahmedabad
CUST-0282,individual,salary,salary,Ahmedabad
CUST-0283,business,small_business,small_business,Bangalore
CUST-0284,business,merchant,merchant,Bangalore
CUST-0285,individual,salary,salary,Delhi
CUST-0286,individual,salary,salary,Ahmedabad
CUST-0287,individual,student,student,Mumbai
CUST-0288,individual,salary,salary,Hyderabad
CUST-0289,individual,salary,salary,Chennai
CUST-0290,individual,student,student,Mumbai
CUST-0291,business,merchant,merchant,Chennai
CUST-0292,business,small_business,small_business,Mumbai
CUST-0293,business,small_business,small_business,Pune
CUST-0294,individual,salary,salary,Hyderabad
CUST-0295,business,merchant,merchant,Kolkata
CUST-0296,individual,salary,salary,Ahmedabad
CUST-0297,individual,salary,salary,Hyderabad
CUST-0298,individual,salary,salary,Mumbai
CUST-0299,individual,salary,salary,Chennai
CUST-0300,individual,salary,salary,Hyderabad
CUST-0301,business,small_business,small_business,Pune
CUST-0302,individual,student,student,Mumbai
CUST-0303,business,merchant,merchant,Pune
CUST-0304,individual,salary,salary,Hyderabad
CUST-0305,individual,salary,salary,Delhi
CUST-0306,individual,student,student,Pune
CUST-0307,individual,student,student,Kolkata
CUST-0308,individual,salary,salary,Kolkata
CUST-0309,business,merchant,merchant,Ahmedabad
CUST-0310,individual,salary,salary,Kolkata
CUST-0311,individual,student,student,Pune
CUST-0312,individual,salary,salary,Bangalore
CUST-0313,individual,salary,salary,Ahmedabad
CUST-0314,individual,salary,salary,Ahmedabad
CUST-0315,business,merchant,merchant,Pune
CUST-0316,business,merchant,merchant,Hyderabad
CUST-0317,individual,salary,salary,Delhi
CUST-0318,individual,salary,salary,Kolkata
CUST-0319,individual,salary,salary,Delhi
CUST-0320,individual,salary,salary,Kolkata
CUST-0321,individual,student,student,Bangalore
CUST-0322,business,merchant,merchant,Hyderabad
CUST-0323,business,merchant,merchant,Pune
CUST-0324,individual,student,student,Delhi
CUST-0325,individual,salary,salary,Delhi
CUST-0326,individual,salary,salary,Pune
CUST-0327,individual,salary,salary,Hyderabad
CUST-0328,business,merchant,merchant,Hyderabad
CUST-0329,individual,salary,salary,Ahmedabad
CUST-0330,individual,salary,salary,Kolkata
CUST-0331,business,merchant,merchant,Bangalore
CUST-0332,business,merchant,merchant,Ahmedabad
CUST-0333,individual,student,student,Pune
CUST-0334,individual,salary,salary,Ahmedabad
CUST-0335,individual,salary,salary,Mumbai
CUST-0336,individual,student,student,Pune
CUST-0337,individual,salary,salary,Kolkata
CUST-0338,individual,salary,salary,Hyderabad
CUST-0339,individual,salary,salary,Mumbai
CUST-0340,individual,salary,salary,Delhi
CUST-0341,individual,salary,salary,Kolkata
CUST-0342,individual,salary,salary,Pune
CUST-0343,individual,salary,salary,Bangalore
CUST-0344,business,merchant,merchant,Mumbai
CUST-0345,business,merchant,merchant,Bangalore
CUST-0346,individual,salary,salary,Ahmedabad
CUST-0347,individual,salary,salary,Mumbai
CUST-0348,business,small_business,small_business,Bangalore
CUST-0349,individual,salary,salary,Delhi
CUST-0350,individual,salary,salary,Chennai
CUST-0351,individual,salary,salary,Pune
CUST-0352,individual,student,student,Pune
CUST-0353,individual,salary,salary,Kolkata
CUST-0354,individual,salary,salary,Mumbai
CUST-0355,individual,salary,salary,Bangalore
CUST-0356,business,small_business,small_business,Ahmedabad
CUST-0357,business,merchant,merchant,Pune
CUST-0358,individual,salary,salary,Pune
CUST-0359,individual,salary,salary,Ahmedabad
CUST-0360,individual,salary,salary,Delhi
CUST-0361,individual,student,student,Bangalore
CUST-0362,business,merchant,merchant,Pune
CUST-0363,business,small_business,small_business,Kolkata
CUST-0364,individual,salary,salary,Pune
CUST-0365,individual,student,student,Hyderabad
CUST-0366,business,small_business,small_business,Chennai
CUST-0367,individual,salary,salary,Delhi
CUST-0368,individual,salary,salary,Mumbai
CUST-0369,individual,salary,salary,Bangalore
CUST-0370,individual,student,student,Ahmedabad
CUST-0371,individual,salary,salary,Kolkata
CUST-0372,business,merchant,merchant,Delhi
CUST-0373,individual,student,student,Hyderabad
CUST-0374,business,merchant,merchant,Hyderabad
CUST-0375,individual,salary,salary,Ahmedabad
CUST-0376,individual,student,student,Chennai
CUST-0377,business,merchant,merchant,Hyderabad
CUST-0378,individual,salary,salary,Ahmedabad
CUST-0379,individual,salary,salary,Chennai
CUST-0380,individual,student,student,Delhi
CUST-0381,individual,student,student,Bangalore
CUST-0382,individual,salary,salary,Delhi
CUST-0383,business,merchant,merchant,Ahmedabad
CUST-0384,individual,salary,salary,Bangalore
CUST-0385,business,small_business,small_business,Ahmedabad
CUST-0386,individual,student,student,Delhi
CUST-0387,individual,salary,salary,Pune
CUST-0388,business,small_business,small_business,Pune
CUST-0389,individual,student,student,Delhi
CUST-0390,individual,salary,salary,Hyderabad
CUST-0391,individual,salary,salary,Hyderabad
CUST-0392,individual,salary,salary,Bangalore
CUST-0393,individual,salary,salary,Bangalore
CUST-0394,business,merchant,merchant,Pune
CUST-0395,individual,salary,salary,Chennai
CUST-0396,individual,salary,salary,Delhi
CUST-0397,business,merchant,merchant,Chennai
CUST-0398,individual,student,student,Bangalore
CUST-0399,individual,salary,salary,Chennai
CUST-0400,individual,student,student,Ahmedabad
CUST-0401,business,merchant,merchant,Mumbai
CUST-0402,individual,student,student,Pune
CUST-0403,individual,salary,salary,Pune
CUST-0404,individual,salary,salary,Ahmedabad
CUST-0405,business,merchant,merchant,Bangalore
CUST-0406,individual,student,student,Delhi
CUST-0407,business,small_business,small_business,Delhi
CUST-0408,individual,salary,salary,Hyderabad
CUST-0409,individual,salary,salary,Kolkata
CUST-0410,individual,student,student,Ahmedabad
CUST-0411,business,merchant,merchant,Kolkata
CUST-0412,individual,salary,salary,Kolkata
CUST-0413,individual,salary,salary,Delhi
CUST-0414,business,merchant,merchant,Bangalore
CUST-0415,individual,salary,salary,Pune
CUST-0416,business,merchant,merchant,Delhi
CUST-0417,business,merchant,merchant,Ahmedabad
CUST-0418,business,merchant,merchant,Ahmedabad
CUST-0419,individual,salary,salary,Pune
CUST-0420,individual,salary,salary,Bangalore
CUST-0421,business,small_business,small_business,Bangalore
CUST-0422,individual,salary,salary,Bangalore
CUST-0423,individual,salary,salary,Kolkata
CUST-0424,business,merchant,merchant,Mumbai
CUST-0425,individual,salary,salary,Delhi
CUST-0426,individual,salary,salary,Bangalore
CUST-0427,individual,student,student,Hyderabad
CUST-0428,business,merchant,merchant,Bangalore
CUST-0429,individual,salary,salary,Bangalore
CUST-0430,individual,salary,salary,Pune
CUST-0431,business,merchant,merchant,Chennai
CUST-0432,individual,salary,salary,Pune
CUST-0433,individual,student,student,Hyderabad
CUST-0434,business,merchant,merchant,Delhi
CUST-0435,business,small_business,small_business,Hyderabad
CUST-0436,business,merchant,merchant,Chennai
CUST-0437,individual,salary,salary,Hyderabad
CUST-0438,business,small_business,small_business,Bangalore
CUST-0439,individual,salary,salary,Hyderabad
CUST-0440,individual,salary,salary,Delhi
CUST-0441,business,small_business,small_business,Bangalore
CUST-0442,business,merchant,merchant,Bangalore
CUST-0443,individual,salary,salary,Bangalore
CUST-0444,individual,student,student,Pune
CUST-0445,individual,salary,salary,Mumbai
CUST-0446,individual,student,student,Mumbai
CUST-0447,business,small_business,small_business,Delhi
CUST-0448,individual,salary,salary,Mumbai
CUST-0449,individual,salary,salary,Hyderabad
CUST-0450,business,small_business,small_business,Chennai
CUST-0451,individual,salary,salary,Kolkata
CUST-0452,business,small_business,small_business,Mumbai
CUST-0453,individual,student,student,Ahmedabad
CUST-0454,individual,salary,salary,Hyderabad
CUST-0455,individual,salary,salary,Hyderabad
CUST-0456,individual,student,student,Ahmedabad
CUST-0457,individual,salary,salary,Chennai
CUST-0458,individual,salary,salary,Kolkata
CUST-0459,business,small_business,small_business,Hyderabad
CUST-0460,business,merchant,merchant,Ahmedabad
CUST-0461,business,merchant,merchant,Delhi
CUST-0462,individual,salary,salary,Mumbai
CUST-0463,individual,student,student,Bangalore
CUST-0464,individual,student,student,Ahmedabad
CUST-0465,individual,salary,salary,Kolkata
CUST-0466,individual,student,student,Ahmedabad
CUST-0467,individual,salary,salary,Ahmedabad
CUST-0468,business,merchant,merchant,Chennai
CUST-0469,individual,salary,salary,Pune
CUST-0470,individual,student,student,Bangalore
CUST-0471,business,merchant,merchant,Pune
CUST-0472,business,small_business,small_business,Pune
CUST-0473,business,merchant,merchant,Pune
CUST-0474,individual,salary,salary,Kolkata
CUST-0475,business,small_business,small_business,Bangalore
CUST-0476,individual,salary,salary,Pune
CUST-0477,individual,salary,salary,Delhi
CUST-0478,individual,salary,salary,Pune
CUST-0479,individual,student,student,Chennai
CUST-0480,individual,salary,salary,Ahmedabad
CUST-0481,individual,salary,salary,Delhi
CUST-0482,business,small_business,small_business,Hyderabad
CUST-0483,individual,student,student,Ahmedabad
CUST-0484,individual,student,student,Chennai
CUST-0485,individual,salary,salary,Bangalore
CUST-0486,business,small_business,small_business,Delhi
CUST-0487,individual,salary,salary,Mumbai
CUST-0488,individual,salary,salary,Hyderabad
CUST-0489,individual,student,student,Kolkata
CUST-0490,business,merchant,merchant,Kolkata
CUST-0491,business,merchant,merchant,Chennai
CUST-0492,business,small_business,small_business,Bangalore
CUST-0493,individual,student,student,Pune
CUST-0494,individual,salary,salary,Pune
CUST-0495,individual,salary,salary,Chennai
CUST-0496,individual,student,student,Bangalore
CUST-0497,individual,salary,salary,Ahmedabad
CUST-0498,business,small_business,small_business,Ahmedabad
CUST-0499,individual,salary,salary,Ahmedabad
CUST-0500,individual,salary,salary,Hyderabad
CUST-0501,business,small_business,small_business,Ahmedabad
CUST-0502,individual,salary,salary,Mumbai
CUST-0503,individual,student,student,Delhi
CUST-0504,individual,salary,salary,Kolkata
CUST-0505,individual,salary,salary,Ahmedabad
CUST-0506,individual,student,student,Chennai
CUST-0507,individual,salary,salary,Chennai
CUST-0508,individual,salary,salary,Pune
CUST-0509,individual,student,student,Mumbai
CUST-0510,individual,salary,salary,Mumbai
CUST-0511,individual,student,student,Hyderabad
CUST-0512,individual,salary,salary,Ahmedabad
CUST-0513,individual,student,student,Ahmedabad
CUST-0514,individual,student,student,Hyderabad
CUST-0515,business,merchant,merchant,Mumbai
CUST-0516,individual,salary,salary,Delhi
CUST-0517,business,small_business,small_business,Kolkata
CUST-0518,individual,salary,salary,Bangalore
CUST-0519,business,merchant,merchant,Hyderabad
CUST-0520,business,merchant,merchant,Pune
CUST-0521,individual,salary,salary,Kolkata
CUST-0522,individual,salary,salary,Pune
CUST-0523,individual,salary,salary,Mumbai
CUST-0524,individual,salary,salary,Kolkata
CUST-0525,business,merchant,merchant,Mumbai
CUST-0526,individual,salary,salary,Chennai
CUST-0527,individual,salary,salary,Pune
CUST-0528,individual,salary,salary,Hyderabad
CUST-0529,individual,salary,salary,Delhi
CUST-0530,individual,salary,salary,Kolkata
CUST-0531,individual,salary,salary,Ahmedabad
CUST-0532,individual,salary,salary,Hyderabad
CUST-0533,business,merchant,merchant,Delhi
CUST-0534,individual,student,student,Bangalore
CUST-0535,individual,student,student,Delhi
CUST-0536,business,merchant,merchant,Kolkata
CUST-0537,business,merchant,merchant,Pune
CUST-0538,business,small_business,small_business,Pune
CUST-0539,individual,salary,salary,Pune
CUST-0540,individual,salary,salary,Bangalore
CUST-0541,business,merchant,merchant,Chennai
CUST-0542,individual,salary,salary,Kolkata
CUST-0543,business,merchant,merchant,Mumbai
CUST-0544,individual,student,student,Mumbai
CUST-0545,individual,salary,salary,Mumbai
CUST-0546,business,small_business,small_business,Bangalore
CUST-0547,individual,salary,salary,Pune
CUST-0548,individual,salary,salary,Ahmedabad
CUST-0549,individual,salary,salary,Ahmedabad
CUST-0550,individual,salary,salary,Bangalore
CUST-0551,individual,salary,salary,Bangalore
CUST-0552,business,merchant,merchant,Pune
CUST-0553,business,merchant,merchant,Pune
CUST-0554,business,merchant,merchant,Bangalore
CUST-0555,individual,salary,salary,Kolkata
CUST-0556,individual,salary,salary,Hyderabad
CUST-0557,individual,salary,salary,Pune
CUST-0558,individual,salary,salary,Ahmedabad
CUST-0559,individual,student,student,Hyderabad
CUST-0560,individual,student,student,Ahmedabad
CUST-0561,individual,salary,salary,Mumbai
CUST-0562,individual,salary,salary,Pune
CUST-0563,business,merchant,merchant,Pune
CUST-0564,individual,salary,salary,Delhi
CUST-0565,individual,salary,salary,Kolkata
CUST-0566,individual,salary,salary,Hyderabad
CUST-0567,individual,student,student,Mumbai
CUST-0568,individual,salary,salary,Ahmedabad
CUST-0569,individual,salary,salary,Hyderabad
CUST-0570,business,merchant,merchant,Chennai
CUST-0571,individual,student,student,Mumbai
CUST-0572,individual,salary,salary,Ahmedabad
CUST-0573,business,small_business,small_business,Bangalore
CUST-0574,business,merchant,merchant,Kolkata
CUST-0575,individual,salary,salary,Bangalore
CUST-0576,individual,salary,salary,Chennai
CUST-0577,individual,student,student,Mumbai
CUST-0578,business,merchant,merchant,Delhi
CUST-0579,business,merchant,merchant,Chennai
CUST-0580,individual,student,student,Mumbai
CUST-0581,individual,salary,salary,Ahmedabad
CUST-0582,individual,salary,salary,Pune
CUST-0583,individual,salary,salary,Kolkata
CUST-0584,business,merchant,merchant,Bangalore
CUST-0585,individual,salary,salary,Kolkata
CUST-0586,individual,salary,salary,Chennai
CUST-0587,individual,student,student,Kolkata
CUST-0588,business,merchant,merchant,Ahmedabad
CUST-0589,individual,salary,salary,Mumbai
CUST-0590,individual,salary,salary,Bangalore
CUST-0591,individual,student,student,Chennai
CUST-0592,individual,salary,salary,Pune
