account_id,customer_id,account_type,creation_date,segment,risk_profile,status,home_region,expected_activity_category,is_synthetic_suspicious,scenario_id
ACC-0131,CUST-0131,current,2024-01-20T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0132,CUST-0132,savings,2025-09-05T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0133,CUST-0133,savings,2026-03-11T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0134,CUST-0134,savings,2025-07-23T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0135,CUST-0135,savings,2024-04-18T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0136,CUST-0136,savings,2023-10-31T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0137,CUST-0137,current,2021-08-18T12:00:00,sme,low,active,Mumbai,small_business,False,
ACC-0138,CUST-0138,savings,2025-10-24T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0139,CUST-0139,current,2024-07-19T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0140,CUST-0140,savings,2025-07-27T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0141,CUST-0141,savings,2022-05-29T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0142,CUST-0142,current,2022-03-08T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0143,CUST-0143,savings,2025-11-10T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0144,CUST-0144,current,2023-08-11T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0145,CUST-0145,savings,2022-03-07T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0146,CUST-0146,savings,2022-02-02T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0147,CUST-0147,savings,2023-09-19T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0148,CUST-0148,savings,2024-06-02T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0149,CUST-0149,savings,2025-02-07T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0150,CUST-0150,savings,2023-09-24T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0151,CUST-0151,current,2023-06-21T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0152,CUST-0152,savings,2023-10-16T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0153,CUST-0153,savings,2021-07-25T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0154,CUST-0154,current,2021-03-31T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0155,CUST-0155,current,2024-03-20T12:00:00,corporate,low,active,Pune,merchant,False,
ACC-0156,CUST-0156,savings,2023-07-22T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0157,CUST-0157,savings,2025-03-12T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0158,CUST-0158,savings,2023-02-27T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0159,CUST-0159,savings,2026-06-01T12:00:00,retail,low,active,Delhi,student,False,
ACC-0160,CUST-0160,current,2026-02-15T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0161,CUST-0161,savings,2026-04-12T12:00:00,retail,low,active,Pune,salary,False,
ACC-0162,CUST-0162,savings,2025-02-13T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0163,CUST-0163,savings,2025-04-03T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0164,CUST-0164,current,2021-07-04T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0165,CUST-0165,savings,2023-10-21T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0166,CUST-0166,savings,2025-11-29T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0167,CUST-0167,savings,2024-02-25T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0168,CUST-0168,current,2026-02-25T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0169,CUST-0169,savings,2022-05-16T12:00:00,retail,low,active,Pune,salary,False,
ACC-0170,CUST-0170,current,2025-11-04T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0171,CUST-0171,savings,2023-06-13T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0172,CUST-0172,savings,2025-06-05T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0173,CUST-0173,savings,2021-07-21T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0174,CUST-0174,savings,2021-08-16T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0175,CUST-0175,savings,2023-06-04T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0176,CUST-0176,current,2021-04-05T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0177,CUST-0177,savings,2023-09-25T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0178,CUST-0178,savings,2024-03-16T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0179,CUST-0179,savings,2026-06-11T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0180,CUST-0180,savings,2022-01-22T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0181,CUST-0181,savings,2022-07-20T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0182,CUST-0182,savings,2024-10-16T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0183,CUST-0183,current,2023-03-17T12:00:00,sme,low,active,Mumbai,small_business,False,
ACC-0184,CUST-0184,current,2026-02-18T12:00:00,corporate,low,active,Mumbai,merchant,False,
ACC-0185,CUST-0185,savings,2023-08-21T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0186,CUST-0186,savings,2023-08-10T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0187,CUST-0187,current,2026-01-26T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0188,CUST-0188,savings,2025-02-19T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0189,CUST-0189,savings,2021-06-18T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0190,CUST-0190,savings,2026-03-26T12:00:00,retail,low,active,Delhi,student,False,
ACC-0191,CUST-0191,savings,2023-03-08T12:00:00,retail,low,active,Pune,salary,False,
ACC-0192,CUST-0192,current,2025-04-23T12:00:00,sme,low,active,Pune,small_business,False,
ACC-0193,CUST-0193,savings,2024-03-27T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0194,CUST-0194,savings,2024-10-09T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0195,CUST-0195,savings,2022-03-29T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0196,CUST-0196,savings,2022-12-21T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0197,CUST-0197,savings,2025-04-05T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0198,CUST-0198,savings,2024-07-01T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0199,CUST-0199,current,2024-05-20T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0200,CUST-0200,savings,2021-10-12T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0201,CUST-0201,savings,2021-12-06T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0202,CUST-0202,savings,2023-05-07T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0203,CUST-0203,current,2025-11-15T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0204,CUST-0204,savings,2021-06-19T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0205,CUST-0205,current,2025-08-01T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0206,CUST-0206,savings,2025-04-10T12:00:00,retail,low,active,Pune,salary,False,
ACC-0207,CUST-0207,savings,2022-11-25T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0208,CUST-0208,savings,2025-01-17T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0209,CUST-0209,savings,2024-01-30T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0210,CUST-0210,savings,2024-08-01T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0211,CUST-0211,savings,2024-12-26T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0212,CUST-0212,current,2023-05-13T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0213,CUST-0213,savings,2025-10-29T12:00:00,retail,low,active,Delhi,student,False,
ACC-0214,CUST-0214,current,2022-07-31T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0215,CUST-0215,savings,2021-10-10T12:00:00,retail,low,active,Pune,student,False,
ACC-0216,CUST-0216,savings,2025-08-16T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0217,CUST-0217,savings,2024-09-22T12:00:00,retail,low,active,Pune,salary,False,
ACC-0218,CUST-0218,current,2021-12-28T12:00:00,corporate,low,active,Mumbai,merchant,False,
ACC-0219,CUST-0219,current,2025-04-11T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0220,CUST-0220,savings,2024-06-21T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0221,CUST-0221,current,2022-04-03T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0222,CUST-0222,current,2025-02-16T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0223,CUST-0223,current,2021-11-28T12:00:00,sme,low,active,Bangalore,small_business,False,
ACC-0224,CUST-0224,current,2026-04-26T12:00:00,corporate,low,active,Bangalore,merchant,False,
ACC-0225,CUST-0225,current,2024-08-04T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0226,CUST-0226,current,2021-08-11T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0227,CUST-0227,savings,2022-01-15T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0228,CUST-0228,savings,2026-03-28T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0229,CUST-0229,savings,2021-11-16T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0230,CUST-0230,savings,2021-11-08T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0231,CUST-0231,savings,2022-10-03T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0232,CUST-0232,savings,2024-11-22T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0233,CUST-0233,current,2024-11-21T12:00:00,sme,low,active,Pune,small_business,False,
ACC-0234,CUST-0234,savings,2024-03-19T12:00:00,retail,low,active,Pune,student,False,
ACC-0235,CUST-0235,current,2025-10-22T12:00:00,sme,low,active,Hyderabad,small_business,False,
ACC-0236,CUST-0236,savings,2024-12-19T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0237,CUST-0237,savings,2024-01-08T12:00:00,retail,low,active,Pune,salary,False,
ACC-0238,CUST-0238,current,2024-09-11T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0239,CUST-0239,savings,2023-08-03T12:00:00,retail,low,active,Delhi,student,False,
ACC-0240,CUST-0240,savings,2023-03-23T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0241,CUST-0241,savings,2022-06-25T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0242,CUST-0242,savings,2021-04-07T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0243,CUST-0243,savings,2026-01-23T12:00:00,retail,low,active,Pune,salary,False,
ACC-0244,CUST-0244,savings,2022-09-26T12:00:00,retail,low,active,Delhi,student,False,
ACC-0245,CUST-0245,current,2024-10-08T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0246,CUST-0246,savings,2024-08-16T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0247,CUST-0247,savings,2023-05-07T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0248,CUST-0248,savings,2022-09-23T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0249,CUST-0249,savings,2021-05-24T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0250,CUST-0250,savings,2024-10-07T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0251,CUST-0251,savings,2026-06-15T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0252,CUST-0252,savings,2024-01-17T12:00:00,retail,low,active,Pune,salary,False,
ACC-0253,CUST-0253,savings,2023-12-23T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0254,CUST-0254,savings,2022-01-02T12:00:00,retail,low,active,Bangalore,student,False,
ACC-0255,CUST-0255,savings,2024-11-11T12:00:00,retail,low,active,Pune,student,False,
ACC-0256,CUST-0256,savings,2021-02-12T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0257,CUST-0257,savings,2025-03-12T12:00:00,retail,low,active,Chennai,student,False,
ACC-0258,CUST-0258,savings,2026-03-13T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0259,CUST-0259,current,2023-01-11T12:00:00,sme,low,active,Delhi,small_business,False,
ACC-0260,CUST-0260,savings,2021-06-27T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0261,CUST-0261,current,2024-04-20T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0262,CUST-0262,savings,2025-08-17T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0263,CUST-0263,current,2021-08-18T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0264,CUST-0264,current,2025-03-24T12:00:00,corporate,low,active,Bangalore,merchant,False,
ACC-0265,CUST-0265,current,2022-07-21T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0266,CUST-0266,savings,2025-01-21T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0267,CUST-0267,savings,2021-12-17T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0268,CUST-0268,savings,2023-04-28T12:00:00,retail,low,active,Pune,student,False,
ACC-0269,CUST-0269,current,2021-06-16T12:00:00,sme,low,active,Ahmedabad,small_business,False,
ACC-0270,CUST-0270,savings,2022-06-03T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0271,CUST-0271,current,2023-05-20T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0272,CUST-0272,current,2022-04-14T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0273,CUST-0273,savings,2022-03-29T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0274,CUST-0274,current,2024-11-25T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0275,CUST-0275,savings,2024-11-30T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0276,CUST-0276,savings,2024-11-07T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0277,CUST-0277,savings,2024-08-30T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0278,CUST-0278,savings,2025-02-27T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0279,CUST-0279,savings,2022-06-30T12:00:00,retail,low,active,Chennai,student,False,
ACC-0280,CUST-0280,savings,2024-03-03T12:00:00,retail,low,active,Pune,salary,False,
ACC-0281,CUST-0281,savings,2024-02-15T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0282,CUST-0282,savings,2024-02-06T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0283,CUST-0283,current,2023-03-07T12:00:00,sme,low,active,Mumbai,small_business,False,
ACC-0284,CUST-0284,current,2022-03-01T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0285,CUST-0285,savings,2021-03-03T12:00:00,retail,low,active,Pune,salary,False,
ACC-0286,CUST-0286,savings,2024-04-08T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0287,CUST-0287,savings,2022-05-03T12:00:00,retail,low,active,Chennai,student,False,
ACC-0288,CUST-0288,savings,2024-12-04T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0289,CUST-0289,savings,2024-04-10T12:00:00,retail,low,active,Pune,salary,False,
ACC-0290,CUST-0290,savings,2021-12-24T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0291,CUST-0291,current,2021-09-28T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0292,CUST-0292,current,2022-12-19T12:00:00,sme,low,active,Mumbai,small_business,False,
ACC-0293,CUST-0293,current,2023-02-19T12:00:00,sme,low,active,Mumbai,small_business,False,
ACC-0294,CUST-0294,savings,2024-01-20T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0295,CUST-0295,current,2025-06-08T12:00:00,corporate,low,active,Mumbai,merchant,False,
ACC-0296,CUST-0296,savings,2024-08-14T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0297,CUST-0297,savings,2024-07-24T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0298,CUST-0298,savings,2021-02-13T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0299,CUST-0299,savings,2025-12-30T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0300,CUST-0300,savings,2023-06-07T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0301,CUST-0301,current,2024-06-29T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0302,CUST-0302,savings,2022-01-28T12:00:00,retail,low,active,Mumbai,student,False,
ACC-0303,CUST-0303,current,2021-02-17T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0304,CUST-0304,savings,2026-05-05T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0305,CUST-0305,savings,2023-10-20T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0306,CUST-0306,savings,2025-03-26T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0307,CUST-0307,savings,2022-02-26T12:00:00,retail,low,active,Pune,student,False,
ACC-0308,CUST-0308,savings,2023-01-19T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0309,CUST-0309,current,2025-07-15T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0310,CUST-0310,savings,2026-04-24T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0311,CUST-0311,savings,2021-05-13T12:00:00,retail,low,active,Kolkata,student,False,
ACC-0312,CUST-0312,savings,2022-06-12T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0313,CUST-0313,savings,2022-08-01T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0314,CUST-0314,savings,2022-02-14T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0315,CUST-0315,current,2023-02-02T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0316,CUST-0316,current,2023-04-13T12:00:00,corporate,low,active,Mumbai,merchant,False,
ACC-0317,CUST-0317,savings,2024-01-20T12:00:00,retail,low,active,Pune,salary,False,
ACC-0318,CUST-0318,savings,2022-10-28T12:00:00,retail,low,active,Pune,salary,False,
ACC-0319,CUST-0319,savings,2024-02-06T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0320,CUST-0320,savings,2021-01-25T12:00:00,retail,low,active,Pune,salary,False,
ACC-0321,CUST-0321,savings,2021-10-22T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0322,CUST-0322,current,2024-01-06T12:00:00,corporate,low,active,Bangalore,merchant,False,
ACC-0323,CUST-0323,current,2022-10-22T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0324,CUST-0324,savings,2021-04-19T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0325,CUST-0325,savings,2021-10-28T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0326,CUST-0326,savings,2025-01-29T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0327,CUST-0327,savings,2023-12-05T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0328,CUST-0328,current,2023-04-05T12:00:00,corporate,low,active,Kolkata,merchant,False,
ACC-0329,CUST-0329,savings,2023-09-07T12:00:00,retail,low,active,Pune,salary,False,
ACC-0330,CUST-0330,savings,2025-04-07T12:00:00,retail,low,active,Pune,salary,False,
ACC-0331,CUST-0331,current,2024-07-18T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0332,CUST-0332,current,2022-07-10T12:00:00,corporate,low,active,Hyderabad,merchant,False,
ACC-0333,CUST-0333,savings,2023-07-23T12:00:00,retail,low,active,Chennai,student,False,
ACC-0334,CUST-0334,savings,2022-06-02T12:00:00,retail,low,active,Kolkata,salary,False,
ACC-0335,CUST-0335,savings,2022-03-16T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0336,CUST-0336,savings,2022-11-01T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0337,CUST-0337,savings,2026-05-11T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0338,CUST-0338,savings,2024-03-09T12:00:00,retail,low,active,Chennai,salary,False,
ACC-0339,CUST-0339,savings,2023-03-12T12:00:00,retail,low,active,Pune,salary,False,
ACC-0340,CUST-0340,savings,2023-06-24T12:00:00,retail,low,active,Pune,salary,False,
ACC-0341,CUST-0341,savings,2022-04-10T12:00:00,retail,low,active,Pune,salary,False,
ACC-0342,CUST-0342,savings,2023-11-29T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0343,CUST-0343,savings,2025-02-28T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0344,CUST-0344,current,2024-09-07T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0345,CUST-0345,current,2021-02-14T12:00:00,corporate,low,active,Bangalore,merchant,False,
ACC-0346,CUST-0346,savings,2022-04-25T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0347,CUST-0347,savings,2023-02-24T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0348,CUST-0348,current,2021-10-14T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0349,CUST-0349,savings,2024-06-06T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0350,CUST-0350,savings,2022-06-26T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0351,CUST-0351,savings,2026-02-24T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0352,CUST-0352,savings,2025-09-30T12:00:00,retail,low,active,Ahmedabad,student,False,
ACC-0353,CUST-0353,savings,2026-05-21T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0354,CUST-0354,savings,2023-12-26T12:00:00,retail,low,active,Pune,salary,False,
ACC-0355,CUST-0355,savings,2026-03-02T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0356,CUST-0356,current,2023-10-11T12:00:00,sme,low,active,Delhi,small_business,False,
ACC-0357,CUST-0357,current,2024-03-17T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0358,CUST-0358,savings,2022-12-04T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0359,CUST-0359,savings,2021-11-27T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0360,CUST-0360,savings,2025-01-23T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0361,CUST-0361,savings,2024-02-14T12:00:00,retail,low,active,Chennai,student,False,
ACC-0362,CUST-0362,current,2024-04-27T12:00:00,corporate,low,active,Ahmedabad,merchant,False,
ACC-0363,CUST-0363,current,2024-10-15T12:00:00,sme,low,active,Kolkata,small_business,False,
ACC-0364,CUST-0364,savings,2022-12-22T12:00:00,retail,low,active,Mumbai,salary,False,
ACC-0365,CUST-0365,savings,2022-04-22T12:00:00,retail,low,active,Delhi,student,False,
ACC-0366,CUST-0366,current,2025-04-16T12:00:00,sme,low,active,Chennai,small_business,False,
ACC-0367,CUST-0367,savings,2025-12-31T12:00:00,retail,low,active,Bangalore,salary,False,
ACC-0368,CUST-0368,savings,2023-05-12T12:00:00,retail,low,active,Delhi,salary,False,
ACC-0369,CUST-0369,savings,2024-03-01T12:00:00,retail,low,active,Ahmedabad,salary,False,
ACC-0370,CUST-0370,savings,2023-10-27T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0371,CUST-0371,savings,2024-11-02T12:00:00,retail,low,active,Hyderabad,salary,False,
ACC-0372,CUST-0372,current,2023-11-29T12:00:00,corporate,low,active,Delhi,merchant,False,
ACC-0373,CUST-0373,savings,2021-04-10T12:00:00,retail,low,active,Hyderabad,student,False,
ACC-0374,CUST-0374,current,2022-12-13T12:00:00,corporate,low,active,Chennai,merchant,False,
ACC-0375,CUST-0375,savings,2023-05-27T12:00:00,retail,low,active,Chennai,salary,False,
